SYMBOL,COMPANY,SECTOR,INDUSTRY
CANBK,Canara Bank,Financial Services,
CANFINHOME,Can Fin Homes Ltd.,Financial Services,
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,
CAPILLARY,Capillary Technologies India Ltd.,Information Technology,
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,
CARTRADE,Cartrade Tech Ltd.,Consumer Services,
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,
CCAVENUE,AvenuesAI Ltd.,Financial Services,
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,
CDSL,Central Depository Services (India) Ltd.,Financial Services,
CEATLTD,Ceat Ltd.,Automobile and Auto Components,
CELLO,Cello World Ltd.,Consumer Durables,
CEMPRO,Cemindia Projects Ltd.,Construction,
CENTRALBK,Central Bank of India,Financial Services,
CENTURYPLY,Century Plyboards (India) Ltd.,Consumer Durables,
CERA,Cera Sanitaryware Ltd,Consumer Durables,
CESC,CESC Ltd.,Power,
CGCL,Capri Global Capital Ltd.,Financial Services,
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,
CHALET,Chalet Hotels Ltd.,Consumer Services,
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,
CHOICEIN,Choice International Ltd.,Financial Services,
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,
CIEINDIA,CIE Automotive India Ltd.,Automobile and Auto Components,
CIPLA,Cipla Ltd.,Healthcare,
CLEAN,Clean Science and Technology Ltd.,Chemicals,
CMSINFO,CMS Info Systems Ltd.,Services,
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,
COFORGE,Coforge Ltd.,Information Technology,
COHANCE,Cohance Lifesciences Ltd.,Healthcare,
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,
CONCOR,Container Corporation of India Ltd.,Services,
CONCORDBIO,Concord Biotech Ltd.,Healthcare,
COROMANDEL,Coromandel International Ltd.,Chemicals,
CORONA,CORONA Remedies Ltd.,Healthcare,
CPPLUS,Aditya Infotech Ltd.,Capital Goods,
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,
CRAMC,Canara Robeco Asset Management Company Ltd.,Financial Services,
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,
CRISIL,CRISIL Ltd.,Financial Services,
CRIZAC,Crizac Ltd.,Consumer Services,
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,
CSBBANK,CSB Bank Ltd.,Financial Services,
CUB,City Union Bank Ltd.,Financial Services,
CUMMINSIND,Cummins India Ltd.,Capital Goods,
CUPID,Cupid Ltd.,Fast Moving Consumer Goods,
CYIENT,Cyient Ltd.,Information Technology,
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,
DATAMATICS,Datamatics Global Services Ltd.,Information Technology,
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,
DBL,Dilip Buildcon Ltd.,Construction,
DBREALTY,VALOR ESTATE Ltd.,Realty,
DCBBANK,DCB Bank Ltd.,Financial Services,
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,
DELHIVERY,Delhivery Ltd.,Services,
DEVYANI,Devyani International Ltd.,Consumer Services,
DIACABS,Diamond Power Infrastructure Ltd.,Capital Goods,
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,
DLF,DLF Ltd.,Realty,
DMART,Avenue Supermarts Ltd.,Consumer Services,
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,
DUMMYINXGN,Dummy Inox Green Ltd.,Construction,
DUMMYTRVN,Dummy Triveni Ltd.,Capital Goods,
DYNAMATECH,Dynamatic Technologies Ltd.,Capital Goods,
ECLERX,eClerx Services Ltd.,Services,
EDELWEISS,Edelweiss Financial Services Ltd.,Financial Services,
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,
EIEL,Enviro Infra Engineers Ltd.,Utilities,
EIHOTEL,EIH Ltd.,Consumer Services,
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,
ELECTCAST,Electrosteel Castings Ltd.,Capital Goods,
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,
ELLEN,Ellenbarrie Industrial Gases Ltd.,Chemicals,
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,
EMBDL,Embassy Developments Ltd.,Realty,
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,
EMIL,Electronics Mart India Ltd.,Consumer Services,
EMMVEE,Emmvee Photovoltaic Power Ltd.,Capital Goods,
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,
ENGINERSIN,Engineers India Ltd.,Construction,
ENRIN,Siemens Energy India Ltd.,Capital Goods,
ENTERO,Entero Healthcare Solutions Ltd.,Consumer Services,
EPL,EPL Ltd.,Capital Goods,
EQUITASBNK,Equitas Small Finance Bank Ltd.,Financial Services,
ERIS,Eris Lifesciences Ltd.,Healthcare,
ESCORTS,Escorts Kubota Ltd.,Capital Goods,
ETERNAL,Eternal Ltd.,Consumer Services,
ETHOSLTD,Ethos Ltd.,Consumer Durables,
EUREKAFORB,Eureka Forbes Ltd.,Consumer Durables,
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,
FEDERALBNK,Federal Bank Ltd.,Financial Services,
FEDFINA,Fedbank Financial Services Ltd.,Financial Services,
FIEMIND,Fiem Industries Ltd,Automobile and Auto Components,
FINCABLES,Finolex Cables Ltd.,Capital Goods,
FINPIPE,Finolex Industries Ltd.,Capital Goods,
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,
FORTIS,Fortis Healthcare Ltd.,Healthcare,
FSL,Firstsource Solutions Ltd.,Services,
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,
GAEL,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,
GESHIP,Great Eastern Shipping Co. Ltd.,Services,
GHCL,GHCL Ltd.,Chemicals,
GICRE,General Insurance Corporation of India,Financial Services,
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,
GLAND,Gland Pharma Ltd.,Healthcare,
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,
GMMPFAUDLR,GMM Pfaudler Ltd.,Capital Goods,
GMRAIRPORT,GMR Airports Ltd.,Services,
GMRP&UI,GMR Power and Urban Infra Ltd.,Power,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,
GODREJAGRO,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,
GODREJIND,Godrej Industries Ltd.,Diversified,
GODREJPROP,Godrej Properties Ltd.,Realty,
GOKEX,Gokaldas Exports Ltd.,Textiles,
GOKULAGRO,Gokul Agro Resources Ltd.,Fast Moving Consumer Goods,
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,
GPPL,Gujarat Pipavav Port Ltd.,Services,
GRANULES,Granules India Ltd.,Healthcare,
GRAPHITE,Graphite India Ltd.,Capital Goods,
GRASIM,Grasim Industries Ltd.,Construction Materials,
GRAVITA,Gravita India Ltd.,Metals & Mining,
GREAVESCOT,Greaves Cotton Ltd.,Capital Goods,
GRINDWELL,Grindwell Norton Ltd.,Capital Goods,
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,
GRWRHITECH,Garware Hi-Tech Films Ltd.,Capital Goods,
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,
HAL,Hindustan Aeronautics Ltd.,Capital Goods,
HAPPSTMNDS,Happiest Minds Technologies Ltd.,Information Technology,
HAVELLS,Havells India Ltd.,Consumer Durables,
HBLENGINE,HBL Engineering Ltd.,Capital Goods,
HCC,Hindustan Construction Co. Ltd.,Construction,
HCG,Healthcare Global Enterprises Ltd.,Healthcare,
HCLTECH,HCL Technologies Ltd.,Information Technology,
HDBFS,HDB Financial Services Ltd.,Financial Services,
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,
HDFCBANK,HDFC Bank Ltd.,Financial Services,
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,
HEG,H.E.G. Ltd.,Capital Goods,
HEMIPROP,Hemisphere Properties India Ltd.,Services,
HERITGFOOD,Heritage Foods Ltd.,Fast Moving Consumer Goods,
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,
HEXT,Hexaware Technologies Ltd.,Information Technology,
HFCL,HFCL Ltd.,Telecommunication,
HGINFRA,H.G. Infra Engineering Ltd.,Construction,
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,
HONAUT,Honeywell Automation India Ltd.,Capital Goods,
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,
ICICIBANK,ICICI Bank Ltd.,Financial Services,
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,
ICIL,Indo Count Industries Ltd.,Textiles,
IDBI,IDBI Bank Ltd.,Financial Services,
IDEA,Vodafone Idea Ltd.,Telecommunication,
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,
IEX,Indian Energy Exchange Ltd.,Financial Services,
IFBIND,IFB Industries Ltd.,Consumer Durables,
IFCI,IFCI Ltd.,Financial Services,
IGIL,International Gemological Institute Ltd.,Services,
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,
IIFL,IIFL Finance Ltd.,Financial Services,
IIFLCAPS,IIFL Capital Services Ltd.,Financial Services,
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,
IMFA,Indian Metals & Ferro Alloys Ltd.,Metals & Mining,
INDGN,Indegene Ltd.,Healthcare,
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,
INDIACEM,India Cements Ltd.,Construction Materials,
INDIAGLYCO,India Glycols Ltd.,Fast Moving Consumer Goods,
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,
INDIANB,Indian Bank,Financial Services,
INDIASHLTR,India Shelter Finance Corporation Ltd.,Financial Services,
INDIGO,InterGlobe Aviation Ltd.,Services,
INDIGOPNTS,Indigo Paints Ltd.,Consumer Durables,
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,
INDUSTOWER,Indus Towers Ltd.,Telecommunication,
INFY,Infosys Ltd.,Information Technology,
INOXGREEN,Inox Green Energy Services Ltd.,Services,
INOXINDIA,INOX India Ltd.,Capital Goods,
INOXWIND,Inox Wind Ltd.,Capital Goods,
INTELLECT,Intellect Design Arena Ltd.,Information Technology,
IOB,Indian Overseas Bank,Financial Services,
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,
IONEXCHANG,Ion Exchange (India) Ltd.,Utilities,
IPCALAB,Ipca Laboratories Ltd.,Healthcare,
IRB,IRB Infrastructure Developers Ltd.,Construction,
IRCON,IRCON International Ltd.,Construction,
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,
ITC,ITC Ltd.,Fast Moving Consumer Goods,
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,
ITI,ITI Ltd.,Telecommunication,
IXIGO,Le Travenues Technology Ltd.,Consumer Services,
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,
JAIBALAJI,JAI BALAJI INDUSTRIES Ltd.,Metals & Mining,
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,
JAMNAAUTO,Jamna Auto Industries Ltd.,Automobile and Auto Components,
JAYNECOIND,Jayaswal Neco Industries Ltd.,Capital Goods,
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,
JBMA,JBM Auto Ltd.,Automobile and Auto Components,
JINDALSAW,Jindal Saw Ltd.,Capital Goods,
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,
JIOFIN,Jio Financial Services Ltd.,Financial Services,
JKCEMENT,J.K. Cement Ltd.,Construction Materials,
JKLAKSHMI,JK Lakshmi Cement Ltd.,Construction Materials,
JKPAPER,JK Paper Ltd.,Forest Materials,
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,
JLHL,Jupiter Life Line Hospitals Ltd.,Healthcare,
JMFINANCIL,JM Financial Ltd.,Financial Services,
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,
JSFB,Jana Small Finance Bank Ltd.,Financial Services,
JSL,Jindal Stainless Ltd.,Metals & Mining,
JSLL,Jeena Sikho Lifecare Ltd.,Consumer Services,
JSWCEMENT,JSW Cement Ltd.,Construction Materials,
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,
JSWENERGY,JSW Energy Ltd.,Power,
JSWINFRA,JSW Infrastructure Ltd.,Services,
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,
JUSTDIAL,Justdial Ltd.,Consumer Services,
JWL,Jupiter Wagons Ltd.,Capital Goods,
JYOTHYLAB,Jyothy Labs Ltd.,Fast Moving Consumer Goods,
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,
KANSAINER,Kansai Nerolac Paints Ltd.,Consumer Durables,
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,
KAYNES,Kaynes Technology India Ltd.,Capital Goods,
KEC,Kec International Ltd.,Construction,
KEI,KEI Industries Ltd.,Capital Goods,
KFINTECH,Kfin Technologies Ltd.,Financial Services,
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,
KIRLOSBROS,Kirloskar Brothers Ltd.,Capital Goods,
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,
KIRLPNU,Kirloskar Pneumatic Company Ltd.,Capital Goods,
KITEX,Kitex Garments Ltd.,Textiles,
KNRCON,KNR Constructions Ltd.,Construction,
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,
KPIGREEN,KPI Green Energy Ltd.,Power,
KPIL,Kalpataru Projects International Ltd.,Construction,
KPITTECH,KPIT Technologies Ltd.,Information Technology,
KPRMILL,K.P.R. Mill Ltd.,Textiles,
KRBL,KRBL Ltd.,Fast Moving Consumer Goods,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION Ltd.,Capital Goods,
KSB,KSB Ltd.,Capital Goods,
KSCL,Kaveri Seed Company Ltd.,Fast Moving Consumer Goods,
KTKBANK,Karnataka Bank Ltd.,Financial Services,
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,
LAURUSLABS,Laurus Labs Ltd.,Healthcare,
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,
LENSKART,Lenskart Solutions Ltd.,Consumer Services,
LGEINDIA,LG Electronics India Ltd.,Consumer Durables,
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,
LICI,Life Insurance Corporation of India,Financial Services,
LINDEINDIA,Linde India Ltd.,Chemicals,
LLOYDSENGG,Lloyds Engineering Works Ltd.,Capital Goods,
LLOYDSENT,Lloyds Enterprises Ltd.,Metals & Mining,
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,
LODHA,Lodha Developers Ltd.,Realty,
LOTUSDEV,SRI LOTUS DEVELOPERS AND REALTY Ltd.,Realty,
LT,Larsen & Toubro Ltd.,Construction,
LTF,L&T Finance Ltd.,Financial Services,
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,
LTM,LTM Ltd.,Information Technology,
LTTS,L&T Technology Services Ltd.,Information Technology,
LUMAXTECH,Lumax Auto Technologies Ltd.,Automobile and Auto Components,
LUPIN,Lupin Ltd.,Healthcare,
LXCHEM,Laxmi Organic Industries Ltd.,Chemicals,
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,
MAHABANK,Bank of Maharashtra,Financial Services,
MAHSCOOTER,Maharashtra Scooters Ltd.,Financial Services,
MAHSEAMLES,Maharashtra Seamless Ltd.,Capital Goods,
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,
MANKIND,Mankind Pharma Ltd.,Healthcare,
MANORAMA,Manorama Industries Ltd.,Fast Moving Consumer Goods,
MANYAVAR,Vedant Fashions Ltd.,Consumer Services,
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,
MARICO,Marico Ltd.,Fast Moving Consumer Goods,
MARKSANS,Marksans Pharma Ltd.,Healthcare,
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,
MASTEK,Mastek Ltd.,Information Technology,
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,
MEDANTA,Global Health Ltd.,Healthcare,
MEDPLUS,Medplus Health Services Ltd.,Consumer Services,
MEESHO,Meesho Ltd.,Consumer Services,
METROPOLIS,Metropolis Healthcare Ltd.,Healthcare,
MFSL,Max Financial Services Ltd.,Financial Services,
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,
MIDHANI,Mishra Dhatu Nigam Ltd.,Capital Goods,
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,
MMTC,MMTC Ltd.,Services,
MOIL,MOIL Ltd.,Metals & Mining,
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,
